登録物件一覧
出力日時：,2026/03/04 22:52:36

掲載状況：,全て
在庫状況：,全て
メーカー：,指定なし
車種：,指定なし
価格見直し：,なし
お気に入り：,なし
車検切れ：,全て
総額：,全て
掲載解除：,全て
更新日（以降）：,
プラン：,全て
本体価格下限：,下限なし
本体価格上限：,上限なし
年式下限：,下限なし
年式上限：,上限なし
入稿状況：,
複数画像：,全て
キャプション：,全て
見積書：,全て
貴社管理番号：
車台番号：
物件コード：
通常ローン：,全て
残価据置ローン：,全て
自動車税：,全て
シート種別：,全て
保証期限：,全て
CS保証見直し：,全て
CS保証入力：,全て
CS認定：,全て
新規検査依頼：,全て
認定ステータス：,全て
評価書流用：,全て
評価書期限：,全て
ソート順変更(優先順位１)：,指定なし
ソート順変更(優先順位２)：,指定なし
ソート順変更(優先順位３)：,指定なし

メーカー,車種,グレード,グレード補記,年式表示用,年式検索用（年）,年式検索用（月）,走行距離表示用,走行距離検索用,色,車検,本体価格表示用,本体価格検索用,支払総額表示用,支払総額検索用,車台番号,貴社管理番号,物件コード,コメント1,コメント2,掲載状況,非掲載理由,在庫状況,拡大コマ,総掲載日数,他掲載指示状況(発売日・商品名),プラン掲出数,Aプラン,Bプラン,複画数,キャプション数,詳細閲覧数,メール問合せ数（全て）,電話問合せ数,MAP閲覧数,お気に入り,価格見直し登録,検査依頼,流用物件（有/無）,流用物件（残日数）,認定ステータス,評価情報（総合）,評価情報（内装）,評価情報（外装）,評価書有効期限,評価書掲出,登録日,更新日
日産,スカイライン,レストア済 ハコスカ ケンメリ 1800GL,レストア済み セル一発で始動 ハーフレザー,S47,1972,07,7.8万km,78000,青,車検整備付,898.0万円,8980000,943.0万円,9430000,PC10-068444,21785855,UZ0051518802,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,38,,2,掲出:933.9万円,掲出:934.0万円,77,77,785,0,1,2,2,0,新規検査可,無,,,,,,,非掲出,2026/01/23 21:33,2026/02/08 16:14
トヨタ,アクア,事前点検済 自社保証 09保 カープレ保,1.5SAIS検査員資格者確認済 事前点検済 車,H27,2015,10,5.5万km,55000,紫,車検整備付,54.0万円,540000,64.0万円,640000,NHP10-6469183,21947066,UZ0051607406,,,掲載,,あり,非掲載,29,,2,掲出:69.9万円,掲出:70.0万円,79,78,232,1,0,1,5,0,検査必須項目抜け,無,,,,,,,非掲出,2026/01/31 15:33,2026/02/08 16:14
キャデラック,キャデラックATS,事前点検済 自社保証 09保 カープレ保,ラグジュアリー プッシュスタート スマキー,13,2013,99,14.0万km,140000,銀,車検整備付,59.0万円,590000,69.0万円,690000,1G6A95SXXD0144391,21933323,UZ0051607412,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,31,,2,掲出:76.9万円,掲出:75.0万円,79,79,780,0,0,4,11,0,検査必須項目抜け,無,,,,,,,非掲出,2026/01/31 15:33,2026/02/08 16:14
ダイハツ,ハイゼット,事前点検済 自社保証 09保 カープレ保,クルーズ4WDハイルーフカーゴ 関東仕入れ,H21,2009,10,7.6万km,76000,白,車検整備付,44.0万円,440000,54.0万円,540000,S331V-0029152,21946978,UZ0051607414,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,29,,2,掲出:59.8万円,掲出:60.0万円,79,79,159,0,0,1,1,0,検査必須項目抜け,無,,,,,,,非掲出,2026/01/31 15:33,2026/02/08 16:14
マツダ,CX-5,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H25,2013,11,8.8万km,88000,黒Ｍ,車検整備付,67.0万円,670000,77.0万円,770000,KE2FW-129450,,U00049912300,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,196,,2,掲出:82.9万円,掲出:83.0万円,79,79,604,1,0,5,5,0,検査必須項目抜け,無,,,,,,,非掲出,2025/08/21 21:41,2026/02/08 16:14
スズキ,ソリオ,事前点検済 自社保証 09保 カープレ保,関東仕入れ 下錆少ない 事前点検済 車検整,H24,2012,07,7.6万km,76000,灰,車検整備付,34.0万円,340000,44.0万円,440000,MA15S-652309,14406038,UZ0046872549,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,498,,2,掲出:49.9万円,掲出:50.0万円,79,79,1603,0,0,6,15,0,検査必須項目抜け,無,,,,,,,非掲出,2024/10/21 21:34,2026/02/08 16:14
マツダ,ビアンテ,事前点検済 自社保証 09保 カープレ保,スマートエディション特別仕様車,H22,2010,03,9.0万km,90000,黒,車検整備付,30.0万円,300000,40.0万円,400000,CCEFW-209177,16891941,UZ0048297323,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,349,,2,掲出:45.9万円,掲出:46.0万円,79,79,1093,0,0,4,1,0,検査必須項目抜け,無,,,,,,,非掲出,2025/03/14 09:38,2026/02/08 16:14
スズキ,ワゴンR,事前点検済 自社保証 09保 カープレ保,ハイブリッドFX　セーフティパッケージ,H29,2017,11,8.4万km,84000,黒真珠,車検整備付,42.5万円,425000,52.5万円,525000,MH55S-170872,17028848,UZ0048407620,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,333,,2,掲出:57.4万円,掲出:58.5万円,79,79,979,1,2,5,7,0,検査必須項目抜け,無,,,,,,,非掲出,2025/03/23 21:34,2026/02/08 16:14
スズキ,エブリイ,事前点検済 自社保証 09保 カープレ保,PZターボ4WD,H25,2013,02,11.7万km,117000,黒真珠,車検整備付,54.0万円,540000,64.0万円,640000,DA64W-416030,17237956,UZ0048573713,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,330,,2,掲出:68.9万円,掲出:70.0万円,79,79,1224,0,0,8,12,0,検査必須項目抜け,無,,,,,,,非掲出,2025/04/07 09:34,2026/02/08 16:14
スズキ,エブリイ,事前点検済 自社保証 09保 カープレ保,PZターボ左Pスラ SDナビ ワンセグ ETC フォ,H24,2012,06,12.7万km,127000,黒真珠,車検整備付,40.5万円,405000,50.5万円,505000,DA64W-387725,17473164,UZ0048744971,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,313,,2,掲出:55.4万円,掲出:56.5万円,79,79,980,2,0,4,4,0,検査必須項目抜け,無,,,,,,,非掲出,2025/04/23 18:39,2026/02/08 16:14
マツダ,CX-5,事前点検済 自社保証 09保 カープレ保,ディーゼルターボ　スマートインテリ,H24,2012,04,8.2万km,82000,赤Ｍ,車検整備付,65.0万円,650000,75.0万円,750000,KE2FW-102093,17674421,UZ0048863892,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,299,,2,掲出:81.9万円,掲出:81.0万円,79,79,800,0,0,2,2,0,検査必須項目抜け,無,,,,,,,非掲出,2025/05/08 09:35,2026/02/08 16:14
マツダ,CX-5,事前点検済 自社保証 09保 カープレ保,ディーゼルターボ,H24,2012,07,7.6万km,76000,赤Ｍ,車検整備付,62.0万円,620000,72.0万円,720000,KE2FW-106684,18619632,UZ0049543193,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,223,,2,掲出:77.9万円,掲出:79.0万円,79,79,714,0,0,3,4,0,検査必須項目抜け,無,,,,,,,非掲出,2025/07/12 09:35,2026/02/08 16:14
マツダ,CX-5,事前点検済 自社保証 09保 カープレ保,ディーゼルターボAIS検査員資格者確認済 事,H26,2014,08,7.2万km,72000,赤Ｍ,車検整備付,66.0万円,660000,76.0万円,760000,KE2FW-140577,18827332,UZ0049685912,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,219,,2,掲出:81.9万円,掲出:82.0万円,79,79,789,0,0,6,6,0,検査必須項目抜け,無,,,,,,,非掲出,2025/07/26 09:35,2026/02/08 16:14
スバル,フォレスター,2.0XTアイサイト 4WD　スマートキー,ハーフレザーシート　HDDナビ　フルセグ,H25,2013,99,6.9万km,69000,銀Ｍ,車検整備付,88.0万円,880000,98.0万円,980000,SJG-005246,18926681,UZ0049756836,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,209,,2,掲出:103.9万円,掲出:104.0万円,79,79,1267,1,0,4,12,0,検査必須項目抜け,無,,,,,,,非掲出,2025/08/01 21:34,2026/02/08 16:14
マツダ,CX-5,事前点検済 自社保証 09保 カープレ保,ディーゼルターボ4WD,H24,2012,09,6.7万km,67000,赤Ｍ,車検整備付,63.0万円,630000,73.0万円,730000,KE2AW-108405,20118341,UZ0050525738,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,135,,2,掲出:80.4万円,掲出:80.5万円,79,79,700,0,0,3,11,0,検査必須項目抜け,無,,,,,,,非掲出,2025/10/18 09:34,2026/02/08 16:14
マツダ,CX-5,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H24,2012,09,9.4万km,94000,青Ｍ,車検整備付,65.0万円,650000,75.0万円,750000,KEEFW-103298,20118338,UZ0050525739,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,135,,2,掲出:80.9万円,掲出:81.0万円,79,79,465,0,0,0,1,0,検査必須項目抜け,無,,,,,,,非掲出,2025/10/18 09:34,2026/02/08 16:14
スバル,サンバー,バン660VB　パワーステアリング,両側スライドドア　ハロゲンヘッドライト,H25,2013,07,9.1万km,91000,白,車検整備付,24.5万円,245000,34.5万円,345000,S321B-0003581,20118401,UZ0050525741,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,135,,2,掲出:39.4万円,掲出:40.5万円,79,79,439,0,0,0,1,0,検査必須項目抜け,無,,,,,,,非掲出,2025/10/18 09:34,2026/02/08 16:14
スバル,インプレッサXV,ハイブリッド2.0i-Lアイサイト 4WD,スマートキー　プッシュスタート,H26,2014,01,9.8万km,98000,緑,車検整備付,77.5万円,775000,87.5万円,875000,GPE-011755,20361176,UZ0050676406,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,110,,2,掲出:93.4万円,掲出:93.5万円,79,79,374,0,0,1,3,0,検査必須項目抜け,無,,,,,,,非掲出,2025/11/01 09:37,2026/02/08 16:14
マツダ,CX-5,事前点検済 自社保証 09保 カープレ保,ディーゼルターボ4WDAIS検査員資格者確認済,H24,2012,12,9.2万km,92000,白真珠,2027年8月,70.5万円,705000,80.5万円,805000,KE2AW-111915,20630198,UZ0050845657,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,108,,2,掲出:86.4万円,掲出:86.5万円,79,79,339,0,0,0,0,0,検査必須項目抜け,無,,,,,,,非掲出,2025/11/16 21:33,2026/02/08 16:14
マツダ,CX-5,2.2ディーゼルターボXD,AIS検査員資格者確認済 事前点検済 車検整,H25,2013,01,8.5万km,85000,青Ｍ,車検整備付,62.5万円,625000,72.5万円,725000,KE2FW-115658,20820575,UZ0050954815,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,83,,2,掲出:78.4万円,掲出:78.5万円,79,79,279,0,0,0,4,0,検査必須項目抜け,無,,,,,,,非掲出,2025/11/27 18:34,2026/02/08 16:14
スズキ,ソリオ,事前点検済 自社保証 09保 カープレ保,関東仕入れ 下錆少ない 事前点検済 車検整,H20,2008,11,7.7万km,77000,銀,車検整備付,12.0万円,120000,22.0万円,220000,MA34S-303324,21031675,UZ0051088965,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,80,,2,掲出:26.9万円,掲出:27.0万円,79,79,725,1,0,1,3,0,検査必須項目抜け,無,,,,,,,非掲出,2025/12/09 18:33,2026/02/08 16:14
スバル,インプレッサスポーツ,5ドア1.6i,リモコンキー　SDナビ　フルセグ,H27,2015,05,11.2万km,112000,白真珠,車検整備付,41.5万円,415000,51.5万円,515000,GP2-028229,21535789,UZ0051355921,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,55,,2,掲出:56.4万円,掲出:57.5万円,78,78,291,0,0,1,3,0,検査必須項目抜け,無,,,,,,,非掲出,2026/01/08 18:35,2026/02/08 16:14
マツダ,CX-5,2.2ディーゼルターボXD,AIS検査員資格者確認済 事前点検済 車検整,H24,2012,11,4.8万km,48000,赤Ｍ,車検整備付,72.5万円,725000,82.5万円,825000,KE2FW-113393,21535705,UZ0051355923,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,48,,2,掲出:88.4万円,掲出:88.5万円,79,79,196,0,0,1,3,0,検査必須項目抜け,無,,,,,,,非掲出,2026/01/08 18:35,2026/02/08 16:14
トヨタ,プリウス,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H27,2015,12,8.7万km,87000,薄茶,車検整備付,108.0万円,1080000,118.0万円,1180000,ZVW50-8000180,13746241,UZ0046563694,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,518,,2,掲出:123.9万円,掲出:124.0万円,79,79,1447,0,0,5,2,0,新規検査可,無,,依頼キャンセル,,,,,非掲出,2024/09/21 18:42,2026/02/08 15:36
日産,デイズルークス,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H26,2014,05,8.6万km,86000,黒,車検整備付,30.0万円,300000,40.0万円,400000,B21A-0024416,14007131,UZ0046682268,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,517,,2,掲出:45.9万円,掲出:46.0万円,79,79,1414,0,0,3,6,0,検査必須項目抜け,無,,,,,,,非掲出,2024/10/03 15:35,2026/02/08 15:36
日産,ノート,事前点検済 自社保証 09保 カープレ保,eパワー ハイブリッド,H29,2017,08,6.9万km,69000,青,車検整備付,63.0万円,630000,73.0万円,730000,HE12-091878,14443895,UZ0046885965,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,496,,2,掲出:78.9万円,掲出:79.0万円,79,79,1326,0,0,1,0,0,新規検査可,無,,評価書情報削除,3.5,C,D,,非掲出,2024/10/23 15:34,2026/02/08 15:36
日産,ノート,事前点検済 自社保証 09保 カープレ保,関東仕入れ 下錆少ない 事前点検済 車検整,H29,2017,99,7.6万km,76000,銀,車検整備付,60.0万円,600000,70.0万円,700000,HE12-070492,15118053,UZ0047207140,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,458,,2,掲出:75.9万円,掲出:76.0万円,79,79,1232,1,0,7,6,0,検査必須項目抜け,無,,,,,,,非掲出,2024/11/23 18:43,2026/02/08 15:36
トヨタ,プリウス,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H21,2009,08,5.8万km,58000,青,車検整備付,50.5万円,505000,60.5万円,605000,ZVW30-5050542,15272770,UZ0047276757,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,436,,2,掲出:66.4万円,掲出:77.5万円,79,79,1235,2,0,3,3,0,検査必須項目抜け,無,,,,,,,非掲出,2024/11/30 18:46,2026/02/08 15:36
ホンダ,ステップワゴン,事前点検済 自社保証 09保 カープレ保,スパーダS,H22,2010,07,6.8万km,68000,灰,車検整備付,56.0万円,560000,66.0万円,660000,RK5-1036682,15696041,UZ0047474901,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,418,,2,掲出:71.9万円,掲出:72.0万円,79,79,2074,0,0,5,21,0,検査必須項目抜け,無,,,,,,,非掲出,2024/12/20 09:36,2026/02/08 15:36
日産,デイズ,事前点検済 自社保証 09保 カープレ保,ハイウェイスターGターボ,H25,2013,09,6.1万km,61000,紫,車検整備付,42.5万円,425000,52.5万円,525000,B21W-0051917,16363355,UZ0047887087,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,390,,2,掲出:58.4万円,掲出:58.5万円,79,79,1135,0,0,7,2,0,検査必須項目抜け,無,,,,,,,非掲出,2025/02/04 09:41,2026/02/08 15:36
ホンダ,N-BOX,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H25,2013,11,3.8万km,38000,赤真珠,車検整備付,43.5万円,435000,53.5万円,535000,JF1-1322326,16682694,UZ0048130805,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,357,,2,掲出:58.4万円,掲出:59.5万円,79,79,1271,1,0,3,18,0,検査必須項目抜け,無,,,,,,,非掲出,2025/02/27 15:44,2026/02/08 15:36
日産,デイズルークス,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H26,2014,07,5.4万km,54000,紫,車検整備付,41.0万円,410000,51.0万円,510000,B21A-0051745,16885411,UZ0048291858,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,351,,2,掲出:45.9万円,掲出:57.0万円,79,79,927,0,0,3,7,0,検査必須項目抜け,無,,,,,,,非掲出,2025/03/13 18:44,2026/02/08 15:36
日産,デイズルークス,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H26,2014,09,8.5万km,85000,銀,車検整備付,36.5万円,365000,46.5万円,465000,B21A-0066955,16885415,UZ0048291859,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,351,,2,掲出:51.4万円,掲出:52.5万円,79,79,890,0,0,2,0,0,検査必須項目抜け,無,,,,,,,非掲出,2025/03/13 18:44,2026/02/08 15:36
ホンダ,N-BOX,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H24,2012,02,6.3万km,63000,銀Ｍ,車検整備付,41.0万円,410000,51.0万円,510000,JF1-1019058,17237990,UZ0048573716,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,328,,2,掲出:56.9万円,掲出:57.0万円,79,79,864,0,0,4,4,0,検査必須項目抜け,無,,,,,,,非掲出,2025/04/07 09:34,2026/02/08 15:36
トヨタ,ヴォクシー,事前点検済 自社保証 09保 カープレ保,関東仕入れ 下錆少ない 事前点検済 車検整,H26,2014,09,9.0万km,90000,黒,車検整備付,125.0万円,1250000,135.0万円,1350000,ZRR80-0065875,17473158,UZ0048744962,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,313,,2,掲出:141.9万円,掲出:142.0万円,79,79,1200,0,0,4,8,0,検査必須項目抜け,無,,,,,,,非掲出,2025/04/23 18:39,2026/02/08 15:36
ホンダ,N-BOX,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H24,2012,02,9.6万km,96000,銀Ｍ,車検整備付,33.0万円,330000,43.0万円,430000,JF1-1016290,17472977,UZ0048744966,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,313,,2,掲出:48.9万円,掲出:49.0万円,79,79,780,0,0,3,1,0,検査必須項目抜け,無,,,,,,,非掲出,2025/04/23 18:39,2026/02/08 15:36
日産,NV100クリッパー,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H30,2018,03,3.2万km,32000,白,車検整備付,61.0万円,610000,71.0万円,710000,DR17V-274438,17921960,UZ0049044095,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,283,,2,掲出:76.9万円,掲出:77.0万円,79,79,796,0,0,2,0,0,検査必須項目抜け,無,,,,,,,非掲出,2025/05/25 18:38,2026/02/08 15:36
マツダ,ボンゴ,事前点検済 自社保証 09保 カープレ保,4WD,H21,2009,09,7.4万km,74000,銀Ｍ,車検整備付,67.5万円,675000,77.5万円,775000,SK82M-401943,17923032,UZ0049045316,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,280,,2,掲出:82.5万円,掲出:83.5万円,79,79,2054,0,0,3,17,0,検査必須項目抜け,無,,,,,,,非掲出,2025/05/25 21:33,2026/02/08 15:36
トヨタ,プリウス,事前点検済 自社保証 09保 カープレ保,1800S AIS検査員資格者確認済 事前点検済,H28,2016,06,5.9万km,59000,紺Ｍ,車検整備付,123.5万円,1235000,133.5万円,1335000,ZVW50-8024502,18218476,UZ0049258346,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,262,,2,掲出:139.4万円,掲出:139.5万円,79,79,775,0,0,2,2,0,検査必須項目抜け,無,,,,,,,非掲出,2025/06/14 18:38,2026/02/08 15:36
トヨタ,プリウス,事前点検済 自社保証 09保 カープレ保,1800Aプレミアム,H29,2017,07,7.1万km,71000,紺Ｍ,車検整備付,126.0万円,1260000,136.0万円,1360000,ZVW51-6055165,18269487,UZ0049289915,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,掲載,,あり,非掲載,251,,2,掲出:142.9万円,掲出:143.0万円,79,79,925,1,0,4,4,0,検査必須項目抜け,無,,,,,,,非掲出,2025/06/18 09:34,2026/02/08 15:36
